id,date,prov,provid,type,sex,diag
61791947,30-Dec-21,ชลบุรี,20,dog,female,neg
61791917,30-Dec-21,อุบลราชธานี,34,dog,male,posit
61791916,30-Dec-21,เพชรบูรณ์,67,cat,male,neg
61791922,29-Dec-21,จันทบุรี,22,dog,female,neg
61791920,29-Dec-21,จันทบุรี,22,dog,male,neg
61791919,29-Dec-21,จันทบุรี,22,dog,female,neg
61791915,29-Dec-21,ยโสธร,35,dog,female,neg
61791908,29-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791907,29-Dec-21,ร้อยเอ็ด,45,cat,male,neg
61791906,29-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791966,28-Dec-21,สุพรรณบุรี,72,dog,female,neg
61791965,28-Dec-21,สุพรรณบุรี,72,cat,male,neg
61791901,27-Dec-21,ชลบุรี,20,dog,male,posit
61791880,25-Dec-21,ชลบุรี,20,dog,male,posit
61791923,24-Dec-21,นครราชสีมา,30,dog,male,posit
61791910,24-Dec-21,ชลบุรี,20,cat,male,neg
61791897,24-Dec-21,เชียงราย,57,cat,male,neg
61791896,24-Dec-21,เชียงราย,57,dog,male,neg
61791895,24-Dec-21,เชียงราย,57,cat,female,neg
61791894,24-Dec-21,เชียงราย,57,dog,male,neg
61791893,24-Dec-21,เชียงราย,57,dog,male,neg
61791892,24-Dec-21,เชียงราย,57,cat,female,neg
61791891,24-Dec-21,เชียงราย,57,cat,female,neg
61791890,24-Dec-21,เชียงราย,57,cat,male,neg
61791889,24-Dec-21,เชียงราย,57,dog,male,neg
61791888,24-Dec-21,เชียงราย,57,dog,female,neg
61791887,24-Dec-21,เชียงราย,57,dog,female,neg
61791886,24-Dec-21,เชียงราย,57,dog,male,neg
61791885,24-Dec-21,เชียงราย,57,cat,female,neg
61791884,24-Dec-21,เชียงราย,57,cat,female,neg
61791883,24-Dec-21,เชียงราย,57,cat,female,neg
61791882,24-Dec-21,เชียงราย,57,dog,male,neg
61791881,24-Dec-21,เชียงราย,57,dog,female,neg
61791879,24-Dec-21,ชลบุรี,20,dog,female,posit
61791868,24-Dec-21,เพชรบูรณ์,67,cat,male,neg
61791964,22-Dec-21,สุพรรณบุรี,72,wildlife,female,neg
61791963,22-Dec-21,สุพรรณบุรี,72,dog,female,neg
61791962,22-Dec-21,สุพรรณบุรี,72,cat,female,neg
61791961,22-Dec-21,สุพรรณบุรี,72,cat,female,neg
61791960,22-Dec-21,สุพรรณบุรี,72,cat,male,neg
61791959,22-Dec-21,สุพรรณบุรี,72,cat,male,neg
61791958,22-Dec-21,สุพรรณบุรี,72,cat,female,neg
61791909,22-Dec-21,ประจวบคีรีขันธ์,77,dog,male,neg
61791905,22-Dec-21,ระยอง,21,cat,female,neg
61791835,22-Dec-21,นครพนม,48,dog,female,neg
61791834,22-Dec-21,นครพนม,48,dog,male,neg
61791833,22-Dec-21,นครพนม,48,dog,male,neg
61791826,22-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791825,22-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791824,22-Dec-21,ร้อยเอ็ด,45,dog,female,neg
61791823,22-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791822,22-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791821,22-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791820,22-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791819,22-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791818,22-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791817,22-Dec-21,ร้อยเอ็ด,45,dog,female,neg
61791946,21-Dec-21,นครสวรรค์,60,dog,male,neg
61791945,21-Dec-21,นครสวรรค์,60,dog,male,neg
61791944,21-Dec-21,นครสวรรค์,60,dog,male,neg
61791943,21-Dec-21,นครสวรรค์,60,dog,male,neg
61791940,21-Dec-21,นครสวรรค์,60,dog,male,neg
61791939,21-Dec-21,นครสวรรค์,60,rodent,male,neg
61791938,21-Dec-21,นครสวรรค์,60,dog,male,neg
61791937,21-Dec-21,นครสวรรค์,60,dog,male,neg
61791936,21-Dec-21,นครสวรรค์,60,cat,male,neg
61791903,21-Dec-21,ขอนแก่น,40,dog,female,neg
61791902,21-Dec-21,ขอนแก่น,40,dog,female,neg
61791860,21-Dec-21,สระบุรี,19,dog,female,neg
61791806,21-Dec-21,เพชรบุรี,76,cat,male,neg
61791898,20-Dec-21,สมุทรปราการ,11,dog,female,neg
61791867,20-Dec-21,ชลบุรี,20,dog,male,neg
61791845,20-Dec-21,แพร่,54,dog,male,neg
61791815,20-Dec-21,นครพนม,48,dog,male,neg
61791814,20-Dec-21,นครพนม,48,dog,male,neg
61791813,20-Dec-21,นครพนม,48,dog,male,neg
61791812,20-Dec-21,นครพนม,48,dog,male,neg
61791803,20-Dec-21,แพร่,54,dog,male,neg
61791802,20-Dec-21,แพร่,54,dog,male,neg
61791801,20-Dec-21,แพร่,54,dog,male,neg
61791800,20-Dec-21,แพร่,54,dog,male,neg
61791799,20-Dec-21,แพร่,54,cat,male,neg
61791798,20-Dec-21,แพร่,54,cat,male,neg
61791797,20-Dec-21,แพร่,54,cat,male,neg
61791796,20-Dec-21,แพร่,54,cat,male,neg
61791795,20-Dec-21,แพร่,54,cat,male,neg
61791794,20-Dec-21,แพร่,54,cat,male,neg
61791793,20-Dec-21,NA,NA,cat,male,unknow
61791792,20-Dec-21,แพร่,54,dog,male,neg
61791791,20-Dec-21,แพร่,54,dog,male,neg
61791790,20-Dec-21,แพร่,54,dog,male,neg
61791816,18-Dec-21,ตรัง,92,dog,male,neg
61791832,17-Dec-21,จันทบุรี,22,rodent,male,neg
61791831,17-Dec-21,จันทบุรี,22,rodent,male,neg
61791830,17-Dec-21,จันทบุรี,22,rodent,male,neg
61791829,17-Dec-21,จันทบุรี,22,rodent,male,neg
61791828,17-Dec-21,จันทบุรี,22,rodent,male,neg
61791827,17-Dec-21,จันทบุรี,22,rodent,male,neg
61791789,17-Dec-21,พัทลุง,93,dog,male,neg
61791787,17-Dec-21,พัทลุง,93,dog,male,neg
61791786,17-Dec-21,พัทลุง,93,dog,male,neg
61791785,17-Dec-21,พัทลุง,93,dog,male,neg
61791904,16-Dec-21,สระบุรี,19,cat,male,neg
61791844,16-Dec-21,แพร่,54,dog,male,neg
61791843,16-Dec-21,แพร่,54,dog,male,neg
61791842,16-Dec-21,แพร่,54,cat,female,neg
61791841,16-Dec-21,แพร่,54,cat,female,neg
61791840,16-Dec-21,แพร่,54,cat,male,neg
61791839,16-Dec-21,แพร่,54,dog,male,neg
61791838,16-Dec-21,แพร่,54,dog,male,neg
61791837,16-Dec-21,แพร่,54,dog,male,neg
61791836,16-Dec-21,แพร่,54,dog,male,neg
61791805,16-Dec-21,ปราจีนบุรี,25,dog,female,neg
61791804,16-Dec-21,ปราจีนบุรี,25,dog,female,neg
61791788,16-Dec-21,สงขลา,90,dog,female,posit
61791866,15-Dec-21,ชลบุรี,20,dog,male,neg
61791765,15-Dec-21,เพชรบูรณ์,67,dog,male,neg
61791970,14-Dec-21,ชัยภูมิ,36,dog,female,neg
61791969,14-Dec-21,ชัยภูมิ,36,dog,male,neg
61791968,14-Dec-21,ชัยภูมิ,36,dog,female,neg
61791967,14-Dec-21,ชัยภูมิ,36,cat,male,neg
61791763,14-Dec-21,ประจวบคีรีขันธ์,77,dog,male,neg
61791757,14-Dec-21,เพชรบุรี,76,dog,male,neg
61791762,13-Dec-21,เพชรบูรณ์,67,dog,female,neg
61791761,13-Dec-21,ชลบุรี,20,dog,female,posit
61791760,13-Dec-21,เชียงราย,57,dog,male,neg
61791759,13-Dec-21,เชียงราย,57,dog,male,neg
61791758,13-Dec-21,เชียงราย,57,dog,male,neg
61791756,13-Dec-21,เชียงราย,57,cat,male,neg
61791754,13-Dec-21,เชียงราย,57,dog,female,neg
61791753,13-Dec-21,เชียงราย,57,dog,male,neg
61791752,13-Dec-21,เชียงราย,57,cat,female,neg
61791751,13-Dec-21,เชียงราย,57,cat,male,neg
61791750,13-Dec-21,เชียงราย,57,dog,male,neg
61791749,13-Dec-21,เชียงราย,57,dog,female,neg
61791747,13-Dec-21,ชลบุรี,20,dog,male,posit
61791746,13-Dec-21,ชลบุรี,20,dog,male,posit
61791768,9-Dec-21,จันทบุรี,22,cat,male,neg
61791767,9-Dec-21,จันทบุรี,22,cat,male,neg
61791764,9-Dec-21,สมุทรสงคราม,75,rodent,male,neg
61791811,8-Dec-21,หนองคาย,43,dog,male,neg
61791784,8-Dec-21,ขอนแก่น,40,dog,female,neg
61791783,8-Dec-21,ขอนแก่น,40,cat,female,neg
61791782,8-Dec-21,ขอนแก่น,40,dog,male,neg
61791781,8-Dec-21,ขอนแก่น,40,dog,male,neg
61791780,8-Dec-21,ขอนแก่น,40,dog,male,neg
61791779,8-Dec-21,ขอนแก่น,40,dog,female,neg
61791778,8-Dec-21,ขอนแก่น,40,cat,male,neg
61791777,8-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791776,8-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791775,8-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791774,8-Dec-21,ร้อยเอ็ด,45,dog,female,neg
61791773,8-Dec-21,ร้อยเอ็ด,45,dog,female,neg
61791772,8-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791771,8-Dec-21,ร้อยเอ็ด,45,dog,female,neg
61791770,8-Dec-21,ร้อยเอ็ด,45,dog,female,neg
61791769,8-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791748,8-Dec-21,ยโสธร,35,ruminant,female,neg
61791744,8-Dec-21,เชียงราย,57,cat,female,neg
61791722,8-Dec-21,ชลบุรี,20,cat,male,posit
61791859,7-Dec-21,สระบุรี,19,cat,female,neg
61791809,7-Dec-21,หนองคาย,43,rodent,female,neg
61791807,7-Dec-21,หนองคาย,43,cat,female,neg
61791755,7-Dec-21,น่าน,55,dog,male,neg
61791745,7-Dec-21,เชียงราย,57,cat,male,neg
61791743,7-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791742,7-Dec-21,ร้อยเอ็ด,45,dog,female,neg
61791741,7-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791740,7-Dec-21,ร้อยเอ็ด,45,dog,female,neg
61791739,7-Dec-21,ร้อยเอ็ด,45,dog,female,neg
61791738,7-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791737,7-Dec-21,ร้อยเอ็ด,45,dog,female,neg
61791736,7-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791735,7-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791734,7-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791733,7-Dec-21,ร้อยเอ็ด,45,dog,female,neg
61791732,7-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791731,7-Dec-21,ร้อยเอ็ด,45,cat,male,neg
61791730,7-Dec-21,ร้อยเอ็ด,45,cat,male,neg
61791729,7-Dec-21,ร้อยเอ็ด,45,cat,male,neg
61791728,7-Dec-21,ร้อยเอ็ด,45,cat,male,neg
61791727,7-Dec-21,ร้อยเอ็ด,45,cat,male,neg
61791726,7-Dec-21,ร้อยเอ็ด,45,dog,male,neg
61791725,7-Dec-21,ร้อยเอ็ด,45,dog,female,neg
61791724,7-Dec-21,ร้อยเอ็ด,45,dog,female,neg
61791723,7-Dec-21,ร้อยเอ็ด,45,dog,female,neg
61791810,6-Dec-21,หนองคาย,43,dog,male,neg
61791808,6-Dec-21,หนองคาย,43,rodent,female,neg
61791871,3-Dec-21,นครสวรรค์,60,dog,male,neg
61791721,3-Dec-21,เพชรบุรี,76,dog,male,neg
61791720,3-Dec-21,เพชรบุรี,76,cat,female,neg
61791719,3-Dec-21,เพชรบุรี,76,cat,female,neg
61791718,3-Dec-21,เพชรบุรี,76,dog,female,neg
61791717,3-Dec-21,เพชรบุรี,76,dog,female,neg
61791716,3-Dec-21,เพชรบุรี,76,dog,male,neg
61791858,2-Dec-21,สระบุรี,19,cat,male,neg
61791766,2-Dec-21,จันทบุรี,22,cat,female,neg
61791715,1-Dec-21,ภูเก็ต,83,dog,female,unknow
61791876,30-Nov-21,นครสวรรค์,60,dog,male,neg
61791869,30-Nov-21,นครสวรรค์,60,cat,male,neg
61791857,30-Nov-21,สระบุรี,19,cat,female,neg
61791714,30-Nov-21,เชียงราย,57,dog,male,neg
61791713,30-Nov-21,เชียงราย,57,cat,female,neg
61791712,30-Nov-21,เชียงราย,57,cat,male,neg
61791711,30-Nov-21,เชียงราย,57,cat,male,neg
61791710,30-Nov-21,เชียงราย,57,dog,female,neg
61791709,30-Nov-21,ร้อยเอ็ด,45,cat,female,neg
61791707,30-Nov-21,ร้อยเอ็ด,45,dog,female,neg
61791706,30-Nov-21,ร้อยเอ็ด,45,dog,male,neg
61791704,30-Nov-21,ร้อยเอ็ด,45,dog,female,neg
61791900,29-Nov-21,กรุงเทพมหานคร,10,cat,female,neg
61791702,26-Nov-21,เชียงราย,57,cat,male,neg
61791701,26-Nov-21,กำแพงเพชร,62,dog,male,posit
61791700,26-Nov-21,ชลบุรี,20,dog,male,posit
61791705,25-Nov-21,ขอนแก่น,40,dog,male,neg
61791698,25-Nov-21,พระนครศรีอยุธยา,14,dog,female,neg
61791697,25-Nov-21,พระนครศรีอยุธยา,14,dog,female,neg
61791878,24-Nov-21,สิงห์บุรี,17,cat,male,neg
61791877,24-Nov-21,สิงห์บุรี,17,cat,female,neg
61791875,24-Nov-21,สิงห์บุรี,17,dog,male,neg
61791874,24-Nov-21,สิงห์บุรี,17,cat,male,neg
61791873,24-Nov-21,สิงห์บุรี,17,dog,female,neg
61791872,24-Nov-21,สิงห์บุรี,17,dog,male,neg
61791870,24-Nov-21,สิงห์บุรี,17,dog,female,neg
61791865,24-Nov-21,สิงห์บุรี,17,dog,male,neg
61791864,24-Nov-21,สิงห์บุรี,17,dog,female,neg
61791863,24-Nov-21,สิงห์บุรี,17,dog,female,neg
61791862,24-Nov-21,สิงห์บุรี,17,dog,male,neg
61791861,24-Nov-21,สิงห์บุรี,17,dog,female,neg
61791703,24-Nov-21,สมุทรปราการ,11,dog,female,neg
61791695,24-Nov-21,ร้อยเอ็ด,45,ruminant,male,neg
61791694,24-Nov-21,พัทลุง,93,dog,male,neg
61791693,24-Nov-21,พัทลุง,93,dog,male,neg
61791692,24-Nov-21,พัทลุง,93,dog,male,neg
61791691,24-Nov-21,พัทลุง,93,dog,male,neg
61791708,23-Nov-21,ร้อยเอ็ด,45,dog,male,neg
61791696,23-Nov-21,นนทบุรี,12,dog,female,posit
61791690,22-Nov-21,ชลบุรี,20,dog,male,posit
61791688,19-Nov-21,เพชรบุรี,76,dog,female,neg
61791680,18-Nov-21,ชลบุรี,20,dog,female,posit
61791678,18-Nov-21,พระนครศรีอยุธยา,14,cat,male,neg
61791677,18-Nov-21,พระนครศรีอยุธยา,14,cat,male,neg
61791676,18-Nov-21,พระนครศรีอยุธยา,14,cat,male,neg
61791675,18-Nov-21,พระนครศรีอยุธยา,14,cat,male,neg
61791674,18-Nov-21,พระนครศรีอยุธยา,14,cat,male,neg
61791673,18-Nov-21,พระนครศรีอยุธยา,14,cat,male,neg
61791672,18-Nov-21,พระนครศรีอยุธยา,14,cat,male,neg
61791352,18-Nov-21,หนองคาย,43,cat,female,neg
61791699,17-Nov-21,ชลบุรี,20,dog,male,neg
61791685,17-Nov-21,อุทัยธานี,61,rodent,male,neg
61791684,17-Nov-21,อุทัยธานี,61,cat,male,neg
61791683,17-Nov-21,อุทัยธานี,61,cat,male,neg
61791682,17-Nov-21,อุทัยธานี,61,dog,male,neg
61791679,17-Nov-21,ระยอง,21,dog,male,posit
61791663,17-Nov-21,ปราจีนบุรี,25,dog,female,posit
61791687,16-Nov-21,เชียงราย,57,cat,male,neg
61791686,16-Nov-21,เชียงราย,57,dog,male,neg
61791649,16-Nov-21,เพชรบุรี,76,dog,female,neg
61791689,15-Nov-21,หนองคาย,43,dog,male,neg
61791681,12-Nov-21,กาฬสินธุ์,46,dog,female,neg
61791664,12-Nov-21,ชลบุรี,20,cat,female,neg
61791632,12-Nov-21,เพชรบุรี,76,cat,male,neg
61791630,12-Nov-21,เพชรบุรี,76,cat,male,neg
61791629,12-Nov-21,เพชรบุรี,76,wildlife,male,neg
61791628,12-Nov-21,เพชรบุรี,76,cat,female,neg
61791627,12-Nov-21,เพชรบุรี,76,cat,male,neg
61791626,12-Nov-21,เพชรบุรี,76,cat,male,neg
61791625,12-Nov-21,เพชรบุรี,76,dog,male,neg
61791624,12-Nov-21,เพชรบุรี,76,dog,female,neg
61791623,12-Nov-21,เพชรบุรี,76,cat,female,neg
61791622,12-Nov-21,เพชรบุรี,76,cat,female,neg
61791646,11-Nov-21,พระนครศรีอยุธยา,14,dog,male,neg
61791645,11-Nov-21,พระนครศรีอยุธยา,14,dog,male,neg
61791644,11-Nov-21,พระนครศรีอยุธยา,14,dog,male,neg
61791643,11-Nov-21,พระนครศรีอยุธยา,14,dog,male,neg
61791642,11-Nov-21,พระนครศรีอยุธยา,14,dog,male,neg
61791641,11-Nov-21,พระนครศรีอยุธยา,14,dog,male,neg
61791640,11-Nov-21,พระนครศรีอยุธยา,14,dog,male,neg
61791639,11-Nov-21,พระนครศรีอยุธยา,14,dog,male,neg
61791638,11-Nov-21,พระนครศรีอยุธยา,14,dog,male,neg
61791637,11-Nov-21,พระนครศรีอยุธยา,14,dog,male,neg
61791636,11-Nov-21,พระนครศรีอยุธยา,14,dog,male,neg
61791635,11-Nov-21,พระนครศรีอยุธยา,14,dog,male,neg
61791634,11-Nov-21,พระนครศรีอยุธยา,14,cat,male,neg
61787964,11-Nov-21,ขอนแก่น,40,dog,male,neg
61791621,10-Nov-21,พัทลุง,93,dog,male,neg
61791620,10-Nov-21,พัทลุง,93,dog,male,neg
61791619,10-Nov-21,พัทลุง,93,dog,male,neg
61791618,10-Nov-21,พัทลุง,93,dog,male,neg
61791617,10-Nov-21,พัทลุง,93,dog,male,neg
61791616,10-Nov-21,พัทลุง,93,dog,male,neg
61791615,10-Nov-21,พัทลุง,93,dog,male,neg
61791614,10-Nov-21,พัทลุง,93,dog,male,neg
61791613,10-Nov-21,พัทลุง,93,dog,male,neg
61791612,10-Nov-21,พัทลุง,93,dog,male,neg
61791611,10-Nov-21,พัทลุง,93,dog,male,neg
61791671,9-Nov-21,ชัยภูมิ,36,dog,male,neg
61791670,9-Nov-21,ชัยภูมิ,36,dog,male,neg
61791669,9-Nov-21,ชัยภูมิ,36,dog,female,neg
61791668,9-Nov-21,ชัยภูมิ,36,cat,female,neg
61791631,9-Nov-21,ฉะเชิงเทรา,24,dog,male,posit
61791607,9-Nov-21,ปราจีนบุรี,25,dog,female,neg
61791609,8-Nov-21,สงขลา,90,cat,female,unknow
61791608,6-Nov-21,สงขลา,90,cat,female,unknow
61791603,5-Nov-21,เพชรบุรี,76,dog,female,neg
61791602,5-Nov-21,เพชรบุรี,76,dog,male,neg
61791601,5-Nov-21,นครศรีธรรมราช,80,dog,male,neg
61791546,5-Nov-21,สุรินทร์,32,dog,male,posit
61791419,5-Nov-21,สุรินทร์,32,cat,female,neg
61791662,4-Nov-21,จันทบุรี,22,dog,male,neg
61791661,4-Nov-21,จันทบุรี,22,dog,male,neg
61791605,4-Nov-21,สงขลา,90,dog,male,posit
61791530,4-Nov-21,สงขลา,90,dog,male,posit
61791431,4-Nov-21,ชลบุรี,20,dog,female,neg
61791404,4-Nov-21,ชลบุรี,20,dog,female,posit
61791660,3-Nov-21,จันทบุรี,22,dog,male,neg
61791659,3-Nov-21,จันทบุรี,22,dog,male,neg
61791658,3-Nov-21,จันทบุรี,22,dog,male,neg
61791657,3-Nov-21,จันทบุรี,22,cat,male,neg
61791652,3-Nov-21,ขอนแก่น,40,cat,female,neg
61791651,3-Nov-21,ขอนแก่น,40,dog,female,neg
61791633,3-Nov-21,สมุทรปราการ,11,cat,male,neg
61791604,3-Nov-21,พัทลุง,93,dog,male,neg
61791366,3-Nov-21,ชลบุรี,20,dog,female,posit
61791365,3-Nov-21,พัทลุง,93,dog,male,neg
61791364,3-Nov-21,พัทลุง,93,dog,male,neg
61791363,3-Nov-21,พัทลุง,93,dog,male,neg
61791362,3-Nov-21,พัทลุง,93,dog,male,neg
61791361,3-Nov-21,พัทลุง,93,dog,male,neg
61791360,3-Nov-21,พัทลุง,93,dog,male,neg
61791359,3-Nov-21,พัทลุง,93,dog,male,neg
61791358,3-Nov-21,พัทลุง,93,dog,male,neg
61791357,3-Nov-21,พัทลุง,93,dog,male,neg
61791356,3-Nov-21,พัทลุง,93,dog,male,neg
61791355,3-Nov-21,พัทลุง,93,dog,male,neg
61791354,3-Nov-21,พัทลุง,93,dog,male,neg
61791351,3-Nov-21,พัทลุง,93,dog,male,neg
61791350,3-Nov-21,พัทลุง,93,dog,male,neg
61791349,3-Nov-21,พัทลุง,93,dog,male,neg
61791648,2-Nov-21,หนองคาย,43,dog,female,neg
61791647,2-Nov-21,หนองคาย,43,dog,female,neg
61791348,2-Nov-21,ชลบุรี,20,dog,male,posit
61791347,2-Nov-21,เพชรบุรี,76,cat,male,neg
61791650,1-Nov-21,ขอนแก่น,40,dog,female,neg
61791345,1-Nov-21,สุรินทร์,32,dog,male,posit
61791606,30-Oct-21,สงขลา,90,cat,male,unknow
61791369,30-Oct-21,ประจวบคีรีขันธ์,77,cat,female,neg
61791368,29-Oct-21,ประจวบคีรีขันธ์,77,cat,female,neg
61791334,29-Oct-21,สงขลา,90,ruminant,female,posit
61791328,29-Oct-21,ชลบุรี,20,dog,female,posit
61791370,28-Oct-21,ประจวบคีรีขันธ์,77,dog,female,neg
61791367,28-Oct-21,ประจวบคีรีขันธ์,77,cat,female,neg
61791327,28-Oct-21,ชลบุรี,20,dog,male,posit
61791326,27-Oct-21,ชลบุรี,20,dog,male,posit
61791374,26-Oct-21,เพชรบูรณ์,67,cat,male,neg
61791325,26-Oct-21,ชลบุรี,20,dog,female,posit
61791324,26-Oct-21,ชลบุรี,20,dog,female,posit
61791610,22-Oct-21,สงขลา,90,cat,male,unknow
61791666,20-Oct-21,ชัยภูมิ,36,dog,male,neg
61791653,20-Oct-21,จันทบุรี,22,dog,female,neg
61791353,20-Oct-21,หนองคาย,43,cat,female,neg
61791314,20-Oct-21,นครศรีธรรมราช,80,ruminant,female,posit
61791313,20-Oct-21,บุรีรัมย์,31,dog,male,neg
61791856,19-Oct-21,สระบุรี,19,cat,male,neg
61791855,19-Oct-21,สระบุรี,19,cat,male,neg
61791854,19-Oct-21,สระบุรี,19,cat,male,neg
61791853,19-Oct-21,สระบุรี,19,rodent,male,neg
61791852,19-Oct-21,สระบุรี,19,rodent,male,neg
61791851,19-Oct-21,สระบุรี,19,rodent,male,neg
61791850,19-Oct-21,สระบุรี,19,rodent,male,neg
61791849,19-Oct-21,สระบุรี,19,rodent,male,neg
61791848,19-Oct-21,สระบุรี,19,rodent,male,neg
61791847,19-Oct-21,สระบุรี,19,rodent,male,neg
61791846,19-Oct-21,สระบุรี,19,rodent,male,neg
61791323,19-Oct-21,พระนครศรีอยุธยา,14,dog,male,neg
61791322,19-Oct-21,พระนครศรีอยุธยา,14,dog,male,neg
61791321,19-Oct-21,พระนครศรีอยุธยา,14,dog,male,neg
61791320,19-Oct-21,พระนครศรีอยุธยา,14,dog,male,neg
61791319,19-Oct-21,พระนครศรีอยุธยา,14,dog,male,neg
61791312,19-Oct-21,สมุทรสงคราม,75,dog,male,posit
61791297,17-Oct-21,ยะลา,95,cat,female,neg
61791293,17-Oct-21,ชลบุรี,20,dog,male,posit
61791296,16-Oct-21,ยะลา,95,cat,male,neg
61791311,15-Oct-21,อุบลราชธานี,34,dog,male,posit
61791665,14-Oct-21,ชัยภูมิ,36,dog,male,neg
61791318,13-Oct-21,พระนครศรีอยุธยา,14,cat,female,neg
61791295,13-Oct-21,ยะลา,95,cat,female,neg
61791310,12-Oct-21,สุรินทร์,32,dog,male,posit
61791294,12-Oct-21,ยะลา,95,cat,male,neg
61791434,11-Oct-21,ชลบุรี,20,cat,female,neg
61791292,11-Oct-21,สงขลา,90,ruminant,female,posit
61791656,8-Oct-21,จันทบุรี,22,cat,male,neg
61791655,8-Oct-21,จันทบุรี,22,dog,male,neg
61791654,8-Oct-21,จันทบุรี,22,cat,male,neg
61791291,8-Oct-21,สุราษฎร์ธานี,84,cat,male,neg
61791309,6-Oct-21,พระนครศรีอยุธยา,14,cat,female,neg
61791308,6-Oct-21,พระนครศรีอยุธยา,14,cat,female,neg
61791307,6-Oct-21,พระนครศรีอยุธยา,14,cat,female,neg
61791306,6-Oct-21,พระนครศรีอยุธยา,14,cat,female,neg
61791305,6-Oct-21,พระนครศรีอยุธยา,14,cat,female,neg
61791304,6-Oct-21,พระนครศรีอยุธยา,14,cat,female,neg
61791303,6-Oct-21,พระนครศรีอยุธยา,14,cat,female,neg
61791302,6-Oct-21,พระนครศรีอยุธยา,14,cat,female,neg
61791301,6-Oct-21,พระนครศรีอยุธยา,14,cat,female,neg
61791300,6-Oct-21,พระนครศรีอยุธยา,14,cat,female,neg
61791299,6-Oct-21,พระนครศรีอยุธยา,14,cat,female,neg
61791298,6-Oct-21,พระนครศรีอยุธยา,14,cat,female,neg
61791283,6-Oct-21,พระนครศรีอยุธยา,14,cat,male,neg
61791281,6-Oct-21,ชลบุรี,20,dog,male,posit
61791285,5-Oct-21,สมุทรสงคราม,75,bat,male,neg
61791284,5-Oct-21,สมุทรสงคราม,75,dog,female,posit
61791259,4-Oct-21,ชลบุรี,20,dog,female,posit
61791258,4-Oct-21,ชลบุรี,20,dog,female,posit
61791287,1-Oct-21,ปราจีนบุรี,25,dog,female,posit
61791286,1-Oct-21,สระบุรี,19,cat,male,neg
61791282,1-Oct-21,พัทลุง,93,dog,female,posit
61791289,30-Sep-21,ปราจีนบุรี,25,rodent,male,neg
61791288,30-Sep-21,ปราจีนบุรี,25,rodent,male,neg
61791240,29-Sep-21,พิจิตร,66,dog,male,neg
61791238,29-Sep-21,กาฬสินธุ์,46,dog,male,neg
61791237,29-Sep-21,กาฬสินธุ์,46,dog,female,neg
61791236,29-Sep-21,กาฬสินธุ์,46,dog,male,neg
61791235,29-Sep-21,กาฬสินธุ์,46,dog,male,neg
61791234,29-Sep-21,กาฬสินธุ์,46,dog,female,neg
61791233,29-Sep-21,กาฬสินธุ์,46,dog,male,neg
61791066,28-Sep-21,ชัยภูมิ,36,cat,female,unknow
61791065,28-Sep-21,ชัยภูมิ,36,cat,male,unknow
61791064,28-Sep-21,ชัยภูมิ,36,cat,male,unknow
61791063,28-Sep-21,ชัยภูมิ,36,cat,female,unknow
61791062,28-Sep-21,ชัยภูมิ,36,cat,female,unknow
61791061,28-Sep-21,ชัยภูมิ,36,cat,female,unknow
61791060,28-Sep-21,ชัยภูมิ,36,cat,female,unknow
61791059,28-Sep-21,ชัยภูมิ,36,cat,male,unknow
61791058,28-Sep-21,ชัยภูมิ,36,dog,female,unknow
61791057,28-Sep-21,ชัยภูมิ,36,cat,female,unknow
61791056,28-Sep-21,ชัยภูมิ,36,dog,male,unknow
61791042,28-Sep-21,สุราษฎร์ธานี,84,cat,male,neg
61791041,28-Sep-21,ชัยภูมิ,36,dog,female,unknow
61791290,27-Sep-21,ปราจีนบุรี,25,rodent,male,neg
61791239,27-Sep-21,สงขลา,90,dog,female,posit
61791160,27-Sep-21,ลพบุรี,16,dog,male,unknow
61791158,27-Sep-21,ลพบุรี,16,dog,male,unknow
61791156,27-Sep-21,ลพบุรี,16,cat,male,unknow
61791154,27-Sep-21,ลพบุรี,16,dog,male,unknow
61791152,27-Sep-21,ลพบุรี,16,dog,female,unknow
61791150,27-Sep-21,ลพบุรี,16,dog,female,unknow
